 index       energy          zcr          vuv        pitch
     1       0.0032        0.236            1     2285.714
     2       0.0039        0.250            1     5333.333
     3       0.0092        0.225            0     1600.000
     4       0.0147        0.186            0     2000.000
     5       0.0181        0.193            0      941.176
     6       0.0216        0.203            0     1066.667
     7       0.0259        0.193            0     3200.000
     8       0.0257        0.186            0      842.105
     9       0.0212        0.189            0     2000.000
    10       0.0133        0.205            0     4000.000
    11       0.0237        0.182            0      695.652
    12       0.1041        0.180            0      800.000
    13       0.1529        0.217            0     1230.769
    14       0.1447        0.209            0     4000.000
    15       0.1151        0.197            0     4000.000
    16       0.0730        0.135            0     4000.000
    17       0.0703        0.063            0      888.889
    18       0.0578        0.051            0      307.692
    19       0.0543        0.039            0      313.725
    20       0.0682        0.039            0      307.692
    21       0.1119        0.059            0      271.186
    22       0.0673        0.148            0      363.636
    23       0.1152        0.258            1     2666.667
    24       0.1091        0.326            1     3200.000
    25       0.1250        0.285            0     3200.000
    26       0.0965        0.240            0     1333.333
    27       0.1140        0.217            0     1777.778
    28       0.1491        0.195            0     5333.333
    29       0.1672        0.229            0     1600.000
    30       0.1914        0.225            0     1777.778
    31       0.1760        0.195            0     2000.000
    32       0.0946        0.201            0     1600.000
    33       0.0614        0.256            1     1230.769
    34       0.0417        0.271            1     1230.769
    35       0.0259        0.262            1     1142.857
    36       0.0159        0.248            1     5333.333
    37       0.0093        0.256            1     4000.000
    38       0.0052        0.275            1     4000.000
    39       0.0032        0.270            1     3200.000
    40       0.0022        0.295            1     2000.000
    41       0.0013        0.318            1     2285.714
    42       0.0006        0.281            1     1454.545
    43       0.0004        0.225            1     2000.000
